Experiment 1: ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Puck B data,,,,,,,Puck A Data,,,,,,,,,
,,,,,,,,,,Interval 1:,0 to 0.333,,,,,
Mass in kg:,0.0188,,,,,,Mass in kg:,0.0184,,Interval 2:,0.333 to0.4,,,,,
Puck_B,,,,,,,Puck_A,,,Interval 3,0.4 to 0.767,,,,,
t (seconds),x_B (meters),y_B (meters),,,,,t (seconds),x_A (meters),y_A (meters),,,,,,,
1.333,-0.182,0.142,0.05151515152,-0.008757575758,-0.1683901571,-6.451570157,1.333,-0.282,0.159,-0.04848484848,0.008242424242,2.973202496,-3.309977504,,,
1.367,-0.196,0.132,0.04687878788,-0.02163636364,-0.4324077756,-6.715587776,1.367,-0.287,0.174,-0.04412121212,0.02036363636,2.709184878,-3.573995122,,,
1.4,-0.21,0.113,0.03915151515,-0.03451515152,-0.722544003,-7.005724003,1.4,-0.286,0.18,-0.03684848485,0.03248484848,2.419048651,-3.864131349,,,
1.433,-0.231,0.101,0.02678787879,-0.0443030303,-1.02696387,-7.31014387,1.433,-0.283,0.187,-0.02521212121,0.0416969697,2.114628783,-4.168551217,,,
1.467,-0.251,0.093,0.01390909091,-0.04945454545,-1.296628876,-7.579808876,1.467,-0.278,0.189,-0.01309090909,0.04654545455,1.844963778,-4.438216222,,,
1.5,-0.28,0.09,-0.004636363636,-0.04893939394,-1.665251262,-7.948431262,1.5,-0.271,0.185,0.004363636364,0.04606060606,1.476341391,-4.806838609,,,
1.533,-0.301,0.086,-0.01803030303,-0.05048484848,-1.913820267,-8.197000267,1.533,-0.266,0.184,0.01696969697,0.04751515152,1.227772386,-5.055407614,,,
1.567,-0.324,0.096,-0.02987878788,-0.04018181818,-2.210182232,-8.493362232,1.567,-0.266,0.174,0.02812121212,0.03781818182,0.9314104211,-5.351769579,,,
1.6,-0.339,0.101,-0.03966666667,-0.03039393939,-2.487782632,-8.770962632,1.6,-0.262,0.16,0.03733333333,0.02860606061,0.6538100219,-5.629369978,,,
1.633,-0.356,0.114,-0.04687878788,-0.017,-2.793704262,-9.076884262,1.633,-0.265,0.147,0.04412121212,0.016,0.3478883913,-5.935291609,,,
,,,,,,,,,,,,,,,,
Radius,0.047m,,-8.93734429,5.483889976,,-1.160624354,3.004209964,,,-3.404384092,-1.579588223,,,,,
,,,0.01652054402,0.0176447299,,0.2951718429,0.06389589822,,,0.7934627264,0.847456081,,,,,
,,,0.9998735908,0.0387029278,,0.6072402111,0.1176912978,,,0.3322353018,1.858857104,,,,,
,,,292663.3151,37,,15.46085491,10,,,18.40873918,37,,,,,
,,,438.3852439,0.05542291495,,0.2141520365,0.1385124158,,,63.608632,127.8479401,,,,,
